UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
485582,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",312703,"R",0,"R",0,"R",0,"R",0,"R",0,"R",312703,"R",0,"R",0,"R",0,"R",1185715,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",245033,"A",,"A",,"R",0,"R",1430748,"R",1113870,"R",483470,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",343938,"R",0,"R",1457808,"R",483470,"R",0,"R",343938,"R",92226,"R",56343,"R",481831,"A",,"A",,-2
485591,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",135462,"R",0,"R",0,"R",0,"R",0,"R",0,"R",135462,"R",0,"R",0,"R",0,"R",347415,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",347415,"R",55000,"R",32000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8000,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",63000,"R",32000,"R",0,"R",19000,"R",0,"R",0,"R",12000,"A",,"A",,-2
485607,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",207235,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",207235,"Z",0,"Z",0,"Z",0,"R",427088,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11350,"A",,"A",,"R",155471,"R",593909,"R",136267,"R",136267,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",25221,"R",0,"R",190585,"R",0,"A",,"A",,"Z",0,"A",,"A",,"R",134133,"R",0,"R",486206,"R",136267,"Z",0,"R",190585,"Z",0,"Z",0,"R",159354,"A",,"A",,-2
485704,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",55644,"R",0,"R",0,"R",0,"R",0,"R",9973,"R",65617,"R",9973,"R",0,"R",9973,"R",139820,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",56593,"A",,"A",,"R",0,"R",196413,"R",80970,"R",79606,"R",0,"Z",0,"R",0,"Z",0,"R",7123,"R",7123,"R",0,"R",0,"R",15616,"R",15616,"A",,"A",,"R",0,"A",,"A",,"R",62998,"R",0,"R",166707,"R",102345,"R",0,"R",13234,"R",691,"R",0,"R",50437,"A",,"A",,-2
485731,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",42573,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",42573,"Z",0,"Z",0,"Z",0,"R",176617,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29776,"A",,"A",,"R",9395,"R",215788,"R",77324,"R",77324,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29776,"R",21576,"R",36884,"R",15256,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",143984,"R",114156,"R",0,"R",29025,"R",452,"R",328,"R",23,"A",,"A",,-2
485768,"R",2273168,"R",0,"R",870569,"R",43657,"R",1253892,"R",0,"R",1019276,"R",2273168,"R",790247,"R",0,"R",916489,"R",0,"R",0,"R",1706736,"R",836167,"R",870569,"R",3873722,"R",4380870,"R",1014296,"R",507148,"R",0,"R",0,"R",512128,"R",1019276,"R",204210,"R",0,"R",0,"R",0,"R",0,"R",500000,"R",704210,"R",0,"R",0,"R",0,"R",3873722,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3873722,"R",2227530,"R",1605804,"R",0,"Z",0,"R",0,"Z",0,"R",413172,"R",175000,"R",46000,"R",32872,"R",1520536,"R",205300,"R",0,"R",0,"R",0,"R",0,"R",0,"R",173632,"R",0,"R",4380870,"R",2018976,"R",0,"R",2153903,"R",173796,"R",34195,"R",0,"R",154806,"R",0, 3
485801,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",290378,"R",0,"R",0,"R",0,"R",0,"R",0,"R",290378,"R",0,"R",0,"R",0,"R",773412,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",364338,"R",1137750,"R",330211,"R",314162,"R",0,"R",0,"R",0,"R",0,"R",40255,"R",29942,"R",361325,"R",217522,"R",142200,"R",105211,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",873991,"R",666837,"R",0,"R",37549,"R",4211,"R",0,"R",165394,"A",,"A",,-2
485810,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",50555,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",50555,"Z",0,"Z",0,"Z",0,"R",210455,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",100000,"A",,"A",,"R",13100,"R",323555,"R",12000,"R",3000,"R",0,"R",0,"R",0,"R",0,"R",1000,"R",1000,"R",51000,"R",51000,"R",1000,"R",1000,"A",,"A",,"R",0,"A",,"A",,"R",3757,"R",0,"R",68757,"R",56000,"R",0,"R",1000,"R",0,"R",0,"R",11757,"A",,"A",,-2
485874,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",241908,"R",0,"R",0,"R",0,"R",0,"R",0,"R",241908,"R",0,"R",0,"R",0,"R",961133,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",72199,"A",,"A",,"R",0,"R",1033332,"R",512682,"R",243207,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",66853,"R",66853,"R",160451,"R",160451,"A",,"A",,"R",0,"A",,"A",,"R",228604,"R",0,"R",968590,"R",470511,"R",0,"R",254637,"R",14838,"R",0,"R",228604,"A",,"A",,-2
485926,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",171688,"Z",0,"Z",0,"Z",0,"Z",0,"R",28020,"R",199708,"R",0,"Z",0,"R",0,"R",617747,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",617747,"R",214922,"R",212105,"Z",0,"Z",0,"Z",0,"Z",0,"R",9135,"R",4000,"R",46285,"R",100,"R",110363,"R",5000,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",380705,"R",221205,"R",0,"R",93295,"R",14300,"R",0,"R",51905,"A",,"A",,-2
